,PASSENGERS,Passenger Miles,CARRIER_NAME-ORIGIN_CITY_NAME-DEST_CITY_NAME
111,501474,797343660,"Delta Air Lines Inc.-Atlanta, GA-Salt Lake City, UT Total Total"
112,499975,483475825,"United Air Lines Inc.-Denver, CO-San Francisco, CA Total Total"
113,499904,794847360,"Delta Air Lines Inc.-Salt Lake City, UT-Atlanta, GA Total Total"
114,498339,596511783,"American Airlines Inc.-Chicago, IL-Miami, FL Total Total"
115,497163,167543931,"United Air Lines Inc.-San Francisco, CA-Los Angeles, CA Total Total"
116,495550,167000350,"United Air Lines Inc.-Los Angeles, CA-San Francisco, CA Total Total"
117,494484,468520824,"Delta Air Lines Inc.-New York, NY-Orlando, FL Total Total"
118,491966,427026488,"American Airlines Inc.-Dallas/Fort Worth, TX-Phoenix, AZ Total Total"
119,489499,855154753,"Delta Air Lines Inc.-Las Vegas, NV-Atlanta, GA Total Total"
120,488389,1143807038,"American Airlines Inc.-Los Angeles, CA-Miami, FL Total Total"
121,487190,682066000,"United Air Lines Inc.-Houston, TX-Newark, NJ Total Total"
122,487075,1205510625,"Delta Air Lines Inc.-Los Angeles, CA-New York, NY Total Total"
123,486948,1770055980,"Compagnie Natl Air France-New York, NY-Paris, France Total Total"
124,486409,250500635,"Delta Air Lines Inc.-Fort Myers, FL-Atlanta, GA Total Total"
125,485810,848710070,"Delta Air Lines Inc.-Atlanta, GA-Las Vegas, NV Total Total"
126,485741,250156615,"Delta Air Lines Inc.-Atlanta, GA-Fort Myers, FL Total Total"
127,485161,568123531,"American Airlines Inc.-Dallas/Fort Worth, TX-San Diego, CA Total Total"
128,484687,454151719,"United Air Lines Inc.-Newark, NJ-Orlando, FL Total Total"
129,484388,420448784,"American Airlines Inc.-Phoenix, AZ-Dallas/Fort Worth, TX Total Total"
130,478531,330992751,"Delta Air Lines Inc.-Atlanta, GA-Houston, TX Total Total"
131,477726,559417146,"American Airlines Inc.-San Diego, CA-Dallas/Fort Worth, TX Total Total"
132,476768,831483392,"American Airlines Inc.-Chicago, IL-Los Angeles, CA Total Total"
133,474376,91080192,"American Airlines Inc.-Orlando, FL-Miami, FL Total Total"
134,474259,449363486,"Delta Air Lines Inc.-Orlando, FL-New York, NY Total Total"
135,473892,1172882700,"Delta Air Lines Inc.-New York, NY-Los Angeles, CA Total Total"
136,473438,1108791796,"American Airlines Inc.-Miami, FL-Los Angeles, CA Total Total"
137,473156,825184064,"American Airlines Inc.-Los Angeles, CA-Chicago, IL Total Total"
138,472873,90791616,"American Airlines Inc.-Miami, FL-Orlando, FL Total Total"
139,472409,1717206715,"Compagnie Natl Air France-Paris, France-New York, NY Total Total"
140,469733,301098853,"American Airlines Inc.-Dallas/Fort Worth, TX-Denver, CO Total Total"
141,466707,299159187,"American Airlines Inc.-Denver, CO-Dallas/Fort Worth, TX Total Total"
142,465881,436530497,"United Air Lines Inc.-Orlando, FL-Newark, NJ Total Total"
143,465663,322100379,"Delta Air Lines Inc.-Houston, TX-Atlanta, GA Total Total"
144,461607,987377373,"Delta Air Lines Inc.-Atlanta, GA-San Francisco, CA Total Total"
145,456647,274901494,"Southwest Airlines Co.-Denver, CO-Phoenix, AZ Total Total"
146,454751,273760102,"Southwest Airlines Co.-Phoenix, AZ-Denver, CO Total Total"
147,454238,439248146,"United Air Lines Inc.-San Francisco, CA-Denver, CO Total Total"
148,451782,966361698,"Delta Air Lines Inc.-San Francisco, CA-Atlanta, GA Total Total"
149,443733,266580017,"United Air Lines Inc.-Chicago, IL-Washington, DC Total Total"
150,441084,94391976,"Delta Air Lines Inc.-Nashville, TN-Atlanta, GA Total Total"
151,439669,316122011,"United Air Lines Inc.-Chicago, IL-Newark, NJ Total Total"
152,435526,93202564,"Delta Air Lines Inc.-Atlanta, GA-Nashville, TN Total Total"
153,433926,406154736,"American Airlines Inc.-Charlotte, NC-Dallas/Fort Worth, TX Total Total"
154,430515,258833981,"United Air Lines Inc.-Washington, DC-Chicago, IL Total Total"
155,428340,651505140,"Southwest Airlines Co.-Las Vegas, NV-Chicago, IL Total Total"
156,428071,934050922,"Delta Air Lines Inc.-Seattle, WA-Atlanta, GA Total Total"
157,427424,400068864,"American Airlines Inc.-Dallas/Fort Worth, TX-Charlotte, NC Total Total"
158,426895,931484890,"Delta Air Lines Inc.-Atlanta, GA-Seattle, WA Total Total"
159,426738,306824622,"United Air Lines Inc.-Newark, NJ-Chicago, IL Total Total"
160,425914,231185383,"American Airlines Inc.-Charlotte, NC-New York, NY Total Total"
161,425853,369214551,"American Airlines Inc.-Chicago, IL-Boston, MA Total Total"
162,425484,510155316,"Delta Air Lines Inc.-Atlanta, GA-Denver, CO Total Total"
163,425243,509866357,"Delta Air Lines Inc.-Denver, CO-Atlanta, GA Total Total"
164,424318,230333560,"American Airlines Inc.-New York, NY-Charlotte, NC Total Total"
165,422346,508926930,"American Airlines Inc.-Dallas/Fort Worth, TX-Santa Ana, CA Total Total"
166,420677,639849717,"Southwest Airlines Co.-Chicago, IL-Las Vegas, NV Total Total"
167,420558,364623786,"Alaska Airlines Inc.-Seattle, WA-Las Vegas, NV Total Total"
168,419900,697034000,"American Airlines Inc.-Seattle, WA-Dallas/Fort Worth, TX Total Total"
169,419392,505367360,"American Airlines Inc.-Santa Ana, CA-Dallas/Fort Worth, TX Total Total"
170,419362,139228184,"Delta Air Lines Inc.-Atlanta, GA-Memphis, TN Total Total"
171,417945,386599125,"Southwest Airlines Co.-Baltimore, MD-Fort Lauderdale, FL Total Total"
172,417901,693715660,"American Airlines Inc.-Dallas/Fort Worth, TX-Seattle, WA Total Total"
173,417465,361942155,"American Airlines Inc.-Boston, MA-Chicago, IL Total Total"
174,417169,385881325,"Southwest Airlines Co.-Fort Lauderdale, FL-Baltimore, MD Total Total"
175,416724,499989576,"United Air Lines Inc.-Houston, TX-Washington, DC Total Total"
