"PASSENGERS","UNIQUE_CARRIER","ORIGIN_AIRPORT_ID","ORIGIN","DEST_AIRPORT_ID","DEST",
0.00,"KD",13744,"NRT",14057,"PDX",
0.00,"KD",14210,"POS",14730,"SDF",
0.00,"KD",14730,"SDF",12938,"LEJ",
0.00,"KD",14730,"SDF",14818,"SID",
0.00,"KD",14730,"SDF",15455,"UIO",
0.00,"KD",14818,"SID",14197,"POB",
0.00,"KD",15455,"UIO",13303,"MIA",
0.00,"N8",11992,"GSB",13998,"OZP",
0.00,"N8",12125,"HHN",12917,"LCK",
0.00,"N8",10292,"AMS",13667,"NGU",
0.00,"N8",12125,"HHN",12917,"LCK",
0.00,"N8",12143,"HKG",10299,"ANC",
0.00,"N8",12892,"LAX",16271,"YYZ",
0.00,"N8",13694,"NGO",10299,"ANC",
0.00,"N8",13930,"ORD",12957,"LGG",
0.00,"NC",10575,"BGI",13303,"MIA",
0.00,"NC",11888,"GEO",13303,"MIA",
0.00,"NC",12693,"KIN",13303,"MIA",
0.00,"NC",12986,"LIM",13303,"MIA",
0.00,"NC",13180,"MBJ",13303,"MIA",
0.00,"NC",13303,"MIA",10575,"BGI",
0.00,"NC",13303,"MIA",11888,"GEO",
0.00,"NC",13303,"MIA",12693,"KIN",
0.00,"NC",13303,"MIA",12986,"LIM",
0.00,"NC",13303,"MIA",13180,"MBJ",
0.00,"NC",13303,"MIA",14012,"PAP",
0.00,"NC",13303,"MIA",14030,"PBM",
0.00,"NC",13303,"MIA",14210,"POS",
0.00,"NC",13303,"MIA",14739,"SDQ",
0.00,"NC",14012,"PAP",13303,"MIA",
0.00,"NC",14030,"PBM",13303,"MIA",
0.00,"NC",14210,"POS",13303,"MIA",
0.00,"NC",14739,"SDQ",13303,"MIA",
0.00,"NC",14739,"SDQ",14843,"SJU",
0.00,"5V",13061,"LRD",16078,"YHM",
0.00,"5V",13256,"MFE",16078,"YHM",
0.00,"5V",15246,"TLC",12265,"IAG",
0.00,"5V",15246,"TLC",13061,"LRD",
0.00,"LF",10519,"BCT",13605,"NAS",
0.00,"ABX",10711,"BOG",13303,"MIA",
0.00,"ABX",11193,"CVG",13252,"MEX",
0.00,"ABX",11193,"CVG",16257,"YYC",
0.00,"ABX",11874,"GDL",12892,"LAX",
0.00,"ABX",12010,"GUA",12892,"LAX",
0.00,"ABX",12206,"HRL",13514,"MTY",
0.00,"ABX",12239,"HUX",12892,"LAX",
0.00,"ABX",12693,"KIN",13303,"MIA",
0.00,"ABX",12892,"LAX",11874,"GDL",
0.00,"ABX",12892,"LAX",13252,"MEX",
0.00,"ABX",12892,"LAX",14838,"SJO",
0.00,"ABX",13252,"MEX",11193,"CVG",
0.00,"ABX",13252,"MEX",12892,"LAX",
0.00,"ABX",13303,"MIA",10711,"BOG",
0.00,"ABX",13303,"MIA",12693,"KIN",
0.00,"ABX",13303,"MIA",14286,"PTY",
0.00,"ABX",13303,"MIA",14838,"SJO",
0.00,"ABX",13514,"MTY",12206,"HRL",
0.00,"ABX",13618,"NBW",13667,"NGU",
0.00,"ABX",13667,"NGU",13618,"NBW",
0.00,"ABX",14838,"SJO",13303,"MIA",
0.00,"ABX",15174,"TER",15842,"WRI",
0.00,"ABX",15842,"WRI",14561,"RMS",
0.00,"ABX",16257,"YYC",11193,"CVG",
0.00,"AMQ",10171,"ADS",16477,"QRO",
0.00,"AMQ",10545,"BEL",14843,"SJU",
0.00,"AMQ",12451,"JAX",16477,"QRO",
0.00,"AMQ",16477,"QRO",11996,"GSP",
0.00,"AMQ",16477,"QRO",13061,"LRD",
0.00,"AMQ",16477,"QRO",15153,"TCL",
0.00,"C5",10257,"ALB",16217,"YUL",
0.00,"DL",10292,"AMS",10581,"BGR",
0.00,"9K",11519,"EIS",15024,"STT",
0.00,"9K",15024,"STT",11519,"EIS",
0.00,"M6",10575,"BGI",13303,"MIA",
0.00,"M6",10711,"BOG",13303,"MIA",
0.00,"M6",11618,"EWR",12957,"LGG",
0.00,"M6",11888,"GEO",13303,"MIA",
0.00,"M6",11888,"GEO",14843,"SJU",
0.00,"M6",11950,"GND",13303,"MIA",
0.00,"M6",11950,"GND",14843,"SJU",
0.00,"M6",12010,"GUA",13303,"MIA",
0.00,"M6",12693,"KIN",13303,"MIA",
0.00,"M6",12957,"LGG",11618,"EWR",
0.00,"M6",13218,"MDE",13303,"MIA",
0.00,"M6",13252,"MEX",13303,"MIA",
0.00,"M6",13269,"MGA",13303,"MIA",
0.00,"M6",13303,"MIA",10312,"ANU",
0.00,"M6",13303,"MIA",10411,"AUA",
0.00,"M6",13303,"MIA",10575,"BGI",
0.00,"M6",13303,"MIA",10711,"BOG",
0.00,"M6",13303,"MIA",10846,"BZE",
0.00,"M6",13303,"MIA",11185,"CUR",
0.00,"M6",13303,"MIA",11654,"FDF",
0.00,"M6",13303,"MIA",11888,"GEO",
0.00,"M6",13303,"MIA",12010,"GUA",
0.00,"M6",13303,"MIA",12693,"KIN",
0.00,"M6",13303,"MIA",13218,"MDE",
0.00,"M6",13303,"MIA",13252,"MEX",
0.00,"M6",13303,"MIA",13269,"MGA",
0.00,"M6",13303,"MIA",13306,"MID",
0.00,"M6",13303,"MIA",14012,"PAP",
0.00,"M6",13303,"MIA",14210,"POS",
0.00,"M6",13303,"MIA",14278,"PTP",
0.00,"M6",13303,"MIA",14286,"PTY",
0.00,"M6",13303,"MIA",14677,"SAL",
0.00,"M6",13303,"MIA",14681,"SAP",
0.00,"M6",13303,"MIA",14739,"SDQ",
0.00,"M6",13303,"MIA",15084,"SXM",
0.00,"M6",13303,"MIA",15513,"UVF",
0.00,"M6",13306,"MID",13303,"MIA",
0.00,"M6",14012,"PAP",13303,"MIA",
0.00,"M6",14030,"PBM",13303,"MIA",
0.00,"M6",14210,"POS",13303,"MIA",
0.00,"M6",14278,"PTP",13303,"MIA",
0.00,"M6",14677,"SAL",13303,"MIA",
0.00,"M6",14681,"SAP",13303,"MIA",
0.00,"M6",14739,"SDQ",13303,"MIA",
0.00,"M6",14739,"SDQ",14843,"SJU",
0.00,"M6",14843,"SJU",10711,"BOG",
0.00,"M6",14843,"SJU",14739,"SDQ",
0.00,"M6",14843,"SJU",15013,"STI",
0.00,"M6",14849,"SKB",13303,"MIA",
0.00,"M6",15013,"STI",13303,"MIA",
0.00,"M6",15052,"SVD",13303,"MIA",
0.00,"M6",15052,"SVD",14843,"SJU",
0.00,"M6",15084,"SXM",13303,"MIA",
0.00,"GL",10194,"AFW",14832,"SJD",
0.00,"GL",11259,"DAL",11868,"GCM",
0.00,"GL",14112,"PIE",14832,"SJD",
0.00,"GL",14122,"PIT",16229,"YVR",
0.00,"GL",14739,"SDQ",13244,"MEM",
0.00,"GL",14739,"SDQ",13303,"MIA",
0.00,"GL",14832,"SJD",11259,"DAL",
0.00,"GL",14832,"SJD",13204,"MCO",
0.00,"GL",14832,"SJD",13244,"MEM",
0.00,"GL",14832,"SJD",13303,"MIA",
0.00,"GL",14832,"SJD",14869,"SLC",
0.00,"GL",14869,"SLC",14832,"SJD",
0.00,"GL",15513,"UVF",13303,"MIA",
0.00,"GL",16149,"YOW",14122,"PIT",
0.00,"GL",16217,"YUL",14307,"PVD",
0.00,"GL",16229,"YVR",11433,"DTW",
0.00,"EK",11455,"DXB",12266,"IAH",
0.00,"EK",11455,"DXB",12478,"JFK",
0.00,"EK",11455,"DXB",13930,"ORD",
0.00,"EK",12266,"IAH",11455,"DXB",
0.00,"EK",12478,"JFK",11455,"DXB",
0.00,"EK",13930,"ORD",11455,"DXB",
0.00,"KAQ",10299,"ANC",10971,"CGO",
0.00,"KAQ",10299,"ANC",15868,"WUH",
0.00,"KAQ",10971,"CGO",10299,"ANC",
0.00,"KAQ",12143,"HKG",10299,"ANC",
0.00,"KAQ",10292,"AMS",12478,"JFK",
0.00,"KAQ",10299,"ANC",12143,"HKG",
0.00,"KAQ",10299,"ANC",12277,"ICN",
0.00,"KAQ",10299,"ANC",13408,"MNL",
0.00,"KAQ",10299,"ANC",13694,"NGO",
0.00,"KAQ",10299,"ANC",14309,"PVG",
0.00,"KAQ",10299,"ANC",15868,"WUH",
0.00,"KAQ",10397,"ATL",12395,"IST",
0.00,"KAQ",10752,"BRU",11193,"CVG",
0.00,"KAQ",11193,"CVG",10752,"BRU",
0.00,"KAQ",11193,"CVG",12277,"ICN",
