Latitude_x,Longitude_x,Latitude_y,Longitude_y,cumsum_proportion
19.44,-99.07,40.64,-73.78,0.103355
25.79,-80.29,-34.82,-58.54,0.103695
33.94,-118.41,19.44,-99.07,0.104035
41.98,-87.9,21.04,-86.88,0.104375
33.94,-118.41,51.47,-0.46,0.104714
33.94,-118.41,49.19,-123.18,0.105053
49.19,-123.18,33.94,-118.41,0.105392
43.68,-79.63,26.54,-81.76,0.10573
14.51,121.02,33.94,-118.41,0.106068
14.51,121.02,33.94,-118.41,0.106405
33.94,-118.41,-37.01,174.79,0.106743
49.19,-123.18,33.94,-118.41,0.107078
25.79,-80.29,-23.44,-46.47,0.107413
43.68,-79.63,37.62,-122.38,0.107748
33.64,-84.43,52.31,4.76,0.108082
40.64,-73.78,19.44,-99.07,0.108416
40.64,-73.78,22.31,113.92,0.108749
28.43,-81.31,9.07,-79.38,0.109082
33.94,-118.41,49.19,-123.18,0.109414
18.5,-77.91,35.21,-80.94,0.109746
40.64,-73.78,37.47,126.45,0.110077
37.47,126.45,33.94,-118.41,0.110408
19.44,-99.07,32.9,-97.04,0.110739
52.31,4.76,33.64,-84.43,0.111069
41.28,28.75,40.64,-73.78,0.1114
40.64,-73.78,37.47,126.45,0.11173
25.79,-80.29,18.43,-69.67,0.11206
40.64,-73.78,41.28,28.75,0.11239
55.97,37.41,40.64,-73.78,0.112719
43.68,-79.63,37.62,-122.38,0.113047
37.62,-122.38,43.68,-79.63,0.113376
21.04,-86.88,35.21,-80.94,0.113704
18.5,-77.91,33.64,-84.43,0.114032
25.79,-80.29,4.7,-74.15,0.11436
25.79,-80.29,22.99,-82.41,0.114687
40.08,116.58,33.94,-118.41,0.115014
25.79,-80.29,-34.82,-58.54,0.115341
32.9,-97.04,19.44,-99.07,0.115667
33.94,-118.41,22.31,113.92,0.115993
33.94,-118.41,40.08,116.58,0.116319
40.78,-73.87,43.68,-79.63,0.116646
37.47,126.45,40.64,-73.78,0.116972
19.44,-99.07,29.98,-95.34,0.117297
4.7,-74.15,40.64,-73.78,0.117622
40.69,-74.17,32.01,34.89,0.117947
20.52,-103.31,33.94,-118.41,0.118271
49.01,2.55,33.64,-84.43,0.118596
52.31,4.76,42.21,-83.35,0.118919
51.47,-0.46,40.64,-73.78,0.119242
19.44,-99.07,33.64,-84.43,0.119564
33.94,-118.41,22.31,113.92,0.119886
21.04,-86.88,29.98,-95.34,0.120207
19.44,-99.07,33.64,-84.43,0.120527
40.64,-73.78,53.42,-6.27,0.120847
42.36,-71.01,51.47,-0.46,0.121166
31.14,121.81,40.64,-73.78,0.121485
33.94,-118.41,23.39,113.3,0.121803
32.9,-97.04,19.44,-99.07,0.122121
35.21,-80.94,21.04,-86.88,0.122439
25.79,-80.29,18.43,-69.67,0.122756
40.64,-73.78,51.15,-0.19,0.123073
19.44,-99.07,32.9,-97.04,0.12339
33.94,-118.41,23.39,113.3,0.123707
49.01,2.55,33.64,-84.43,0.124023
51.47,-0.46,40.69,-74.17,0.12434
51.47,-0.46,41.98,-87.9,0.124656
55.97,37.41,40.64,-73.78,0.124972
43.68,-79.63,40.78,-73.87,0.125287
29.98,-95.34,19.44,-99.07,0.125602
40.64,-73.78,51.47,-0.46,0.125917
41.98,-87.9,43.68,-79.63,0.126231
43.68,-79.63,28.43,-81.31,0.126545
32.01,34.89,40.69,-74.17,0.126859
19.44,-99.07,33.94,-118.41,0.127173
-33.39,-70.79,25.79,-80.29,0.127487
28.43,-81.31,43.68,-79.63,0.127801
33.64,-84.43,52.31,4.76,0.128114
4.7,-74.15,40.64,-73.78,0.128427
32.01,34.89,40.69,-74.17,0.128741
35.21,-80.94,18.5,-77.91,0.129053
40.64,-73.78,31.14,121.81,0.129366
43.68,-79.63,25.79,-80.29,0.129677
-37.01,174.79,33.94,-118.41,0.129989
33.64,-84.43,19.44,-99.07,0.1303
31.14,121.81,33.94,-118.41,0.13061
22.31,113.92,33.94,-118.41,0.130919
25.79,-80.29,-34.82,-58.54,0.131227
40.64,-73.78,51.47,-0.46,0.131535
25.79,-80.29,-23.44,-46.47,0.131842
18.43,-69.67,25.79,-80.29,0.13215
37.62,-122.38,51.47,-0.46,0.132456
18.43,-69.67,25.79,-80.29,0.132763
50.03,8.57,40.64,-73.78,0.13307
4.7,-74.15,25.79,-80.29,0.133376
40.64,-73.78,19.44,-99.07,0.133681
53.42,-6.27,40.64,-73.78,0.133986
25.79,-80.29,43.68,-79.63,0.134292
37.47,126.45,33.94,-118.41,0.134596
25.27,51.61,40.64,-73.78,0.134901
-34.82,-58.54,25.79,-80.29,0.135205
-23.44,-46.47,25.79,-80.29,0.135509
-34.82,-58.54,25.79,-80.29,0.135812
49.01,2.55,33.94,-118.41,0.136115
42.36,-71.01,53.42,-6.27,0.136417
25.04,-77.47,33.64,-84.43,0.13672
33.94,-118.41,20.52,-103.31,0.137022
37.62,-122.38,43.68,-79.63,0.137324
33.94,-118.41,31.14,121.81,0.137625
42.21,-83.35,52.31,4.76,0.137927
52.31,4.76,33.64,-84.43,0.138228
40.47,-3.56,40.64,-73.78,0.138529
21.04,-86.88,44.88,-93.22,0.13883
40.64,-73.78,52.31,4.76,0.139131
51.15,-0.19,28.43,-81.31,0.139432
40.69,-74.17,32.01,34.89,0.139733
51.15,-0.19,40.64,-73.78,0.140033
33.94,-118.41,-37.01,174.79,0.140332
33.94,-118.41,14.51,121.02,0.140631
18.57,-68.36,33.64,-84.43,0.140929
51.47,-0.46,37.62,-122.38,0.141226
44.88,-93.22,21.04,-86.88,0.141523
33.64,-84.43,49.01,2.55,0.141819
33.64,-84.43,19.44,-99.07,0.142116
33.94,-118.41,14.51,121.02,0.142412
33.94,-118.41,23.39,113.3,0.142708
33.94,-118.41,20.52,-103.31,0.143005
40.08,116.58,40.64,-73.78,0.1433
29.98,-95.34,21.04,-86.88,0.143596
40.69,-74.17,43.63,-79.4,0.143892
43.63,-79.4,40.69,-74.17,0.144187
32.9,-97.04,23.15,-109.72,0.144483
22.31,113.92,40.64,-73.78,0.144778
40.64,-73.78,4.7,-74.15,0.145073
52.31,4.76,40.64,-73.78,0.145368
-23.44,-46.47,25.79,-80.29,0.145662
9.99,-84.21,29.98,-95.34,0.145956
25.79,-80.29,18.43,-69.67,0.14625
-37.01,174.79,33.94,-118.41,0.146543
33.64,-84.43,18.57,-68.36,0.146836
23.15,-109.72,32.9,-97.04,0.147129
53.42,-6.27,42.36,-71.01,0.147421
40.64,-73.78,55.97,37.41,0.147713
51.47,-0.46,37.62,-122.38,0.148005
27.98,-82.53,43.68,-79.63,0.148296
32.01,34.89,40.64,-73.78,0.148586
25.79,-80.29,-23.44,-46.47,0.148877
52.31,4.76,33.64,-84.43,0.149166
19.44,-99.07,29.98,-95.34,0.149456
40.64,-73.78,50.03,8.57,0.149745
40.64,-73.78,31.14,121.81,0.150034
23.39,113.3,33.94,-118.41,0.150322
31.14,121.81,40.64,-73.78,0.15061
33.94,-118.41,31.14,121.81,0.150898
18.57,-68.36,33.64,-84.43,0.151186
37.47,126.45,37.62,-122.38,0.151474
32.9,-97.04,19.44,-99.07,0.151761
-23.44,-46.47,25.79,-80.29,0.152049
42.21,-83.35,52.31,4.76,0.152336
37.47,126.45,13.48,144.8,0.152622
33.64,-84.43,49.01,2.55,0.152909
19.44,-99.07,40.64,-73.78,0.153195
20.52,-103.31,33.94,-118.41,0.153481
33.64,-84.43,52.31,4.76,0.153766
43.68,-79.63,41.98,-87.9,0.154051
-22.81,-43.25,25.79,-80.29,0.154336
25.79,-80.29,40.47,-3.56,0.15462
18.43,-69.67,40.64,-73.78,0.154904
37.62,-122.38,50.03,8.57,0.155188
40.64,-73.78,19.44,-99.07,0.155471
9.99,-84.21,29.98,-95.34,0.155755
9.07,-79.38,33.94,-118.41,0.156038
9.07,-79.38,40.64,-73.78,0.15632
20.68,-105.25,32.9,-97.04,0.156602
23.39,113.3,33.94,-118.41,0.156884
33.64,-84.43,18.5,-77.91,0.157165
32.9,-97.04,35.76,140.39,0.157447
33.94,-118.41,49.01,2.55,0.157728
25.27,51.61,40.64,-73.78,0.158009
51.47,-0.46,42.36,-71.01,0.15829
19.41,-70.6,40.64,-73.78,0.158571
40.64,-73.78,41.28,28.75,0.158852
29.98,-95.34,9.99,-84.21,0.159132
21.04,-86.88,41.98,-87.9,0.159412
51.47,-0.46,40.64,-73.78,0.159693
35.76,140.39,32.9,-97.04,0.159971
37.47,126.45,13.48,144.8,0.160249
40.64,-73.78,41.8,12.24,0.160528
25.79,-80.29,-33.39,-70.79,0.160806
50.03,8.57,37.62,-122.38,0.161083
33.64,-84.43,25.04,-77.47,0.161361
13.48,144.8,37.47,126.45,0.161638
25.79,-80.29,43.68,-79.63,0.161915
49.01,2.55,33.94,-118.41,0.162191
52.31,4.76,42.21,-83.35,0.162468
43.68,-79.63,27.98,-82.53,0.162742
40.69,-74.17,32.01,34.89,0.163017
13.48,144.8,37.47,126.45,0.163291
35.76,140.39,32.9,-97.04,0.163565
19.41,-70.6,40.64,-73.78,0.163839
25.79,-80.29,49.01,2.55,0.164113
38.94,-77.46,51.47,-0.46,0.164387
43.68,-79.63,40.78,-73.87,0.16466
32.01,34.89,40.69,-74.17,0.164934
